id,start,end,attempts,duration
5ecd727a50b0a527adaa2404,2020-05-26 13:47:38,2020-05-26 13:48:10,3,31.466
5ecd73c450b0a527adaa2405,2020-05-26 13:52:44,2020-05-26 13:53:40,5,55.648
5ecd7b87ba16cf11ad23f11b,2020-05-25 21:20:04,2020-05-25 21:21:04,2,60.318
5ecd7b87ba16cf11ad23f11c,2020-05-26 09:02:06,2020-05-26 09:07:47,9,340.81
5ecd7b87ba16cf11ad23f11d,2020-05-25 15:24:27,2020-05-25 15:24:47,1,20.026
5ecd7b87ba16cf11ad23f11e,2020-05-25 14:45:54,2020-05-25 14:46:14,1,20.024
5ecd7b87ba16cf11ad23f11f,2020-05-25 17:21:51,2020-05-25 17:22:52,2,60.135
5ecd7b87ba16cf11ad23f120,2020-05-26 09:27:56,2020-05-26 09:34:17,10,381.073
5ecd7b87ba16cf11ad23f121,2020-05-25 20:49:56,2020-05-25 20:50:16,1,20.022
5ecd7b87ba16cf11ad23f122,2020-05-25 22:06:51,2020-05-25 22:07:51,2,60.284
5ecd7b87ba16cf11ad23f123,2020-05-25 20:09:27,2020-05-25 20:09:47,1,20.025
5ecd7b87ba16cf11ad23f124,2020-05-25 14:59:04,2020-05-25 14:59:24,1,20.024
5ecd7b87ba16cf11ad23f126,2020-05-25 22:36:48,2020-05-25 22:37:48,2,60.135
5ecd7b87ba16cf11ad23f125,2020-05-26 11:01:14,2020-05-26 11:02:14,2,60.112
5ecd7b87ba16cf11ad23f127,2020-05-25 14:39:58,2020-05-25 14:40:18,1,20.014
5ecd7b87ba16cf11ad23f128,2020-05-26 11:23:37,2020-05-26 11:23:57,1,20.019
5ecd7b87ba16cf11ad23f129,2020-05-25 16:17:46,2020-05-25 16:18:06,1,20.017
5ecd7b87ba16cf11ad23f12a,2020-05-25 21:03:39,2020-05-25 21:09:22,9,342.953
5ecd7b87ba16cf11ad23f12b,2020-05-25 19:15:49,2020-05-25 19:16:49,2,60.341
5ecd7b87ba16cf11ad23f12c,2020-05-25 20:27:24,2020-05-25 20:33:46,10,382.177
5ecd7b87ba16cf11ad23f12d,2020-05-25 14:34:34,2020-05-25 14:34:54,1,20.016
5ecd7b87ba16cf11ad23f12e,2020-05-25 21:34:22,2020-05-25 21:34:42,1,20.027
5ecd7b87ba16cf11ad23f12f,2020-05-25 19:04:17,2020-05-25 19:05:17,2,60.239
5ecd7b87ba16cf11ad23f130,2020-05-25 16:25:42,2020-05-25 16:26:02,1,20.014
5ecd7b87ba16cf11ad23f131,2020-05-25 20:00:08,2020-05-25 20:00:28,1,20.033
5ecd7b87ba16cf11ad23f132,2020-05-25 14:06:44,2020-05-25 14:07:04,1,20.018
5ecd7b87ba16cf11ad23f133,2020-05-25 19:51:51,2020-05-25 19:52:11,1,20.023
5ecd7b87ba16cf11ad23f134,2020-05-25 18:42:49,2020-05-25 18:44:29,3,100.253
5ecd7b87ba16cf11ad23f135,2020-05-25 15:39:41,2020-05-25 15:46:02,10,381.09
5ecd7b87ba16cf11ad23f136,2020-05-25 18:38:23,2020-05-25 18:39:23,2,60.301
5ecd7b87ba16cf11ad23f137,2020-05-25 18:21:54,2020-05-25 18:22:14,1,20.066
5ecd7cbf50b0a527adaa2406,2020-05-26 14:31:37,2020-05-26 14:31:59,2,22.018
5ecd7d3050b0a527adaa2407,2020-05-26 14:32:29,2020-05-26 14:33:52,5,83.517
5ecd862f50b0a527adaa2408,2020-05-26 15:11:39,2020-05-26 15:12:15,3,35.586
