id,start,end,attempts,duration
5ed14cda60e6202c51737823,2020-05-29 11:56:12,2020-05-29 11:56:42,2,30.108
5ed1506460e6202c51737824,2020-05-29 12:06:17,2020-05-29 12:11:48,34,330.675
5ed1514560e6202c51737825,2020-05-29 12:15:19,2020-05-29 12:15:33,2,13.566
5ed1516960e6202c51737826,2020-05-29 12:15:19,2020-05-29 12:16:09,4,49.702
5ed1537960e6202c51737827,2020-05-29 12:19:16,2020-05-29 12:24:57,33,340.765
5ed15d6260e6202c51737828,2020-05-29 13:07:02,2020-05-29 13:07:14,2,12.148
5ed1620260e6202c51737829,2020-05-29 13:26:20,2020-05-29 13:26:58,2,37.763
5ed1622d60e6202c5173782a,2020-05-29 13:26:20,2020-05-29 13:27:41,7,80.955
5ed175cb60e6202c5173782b,2020-05-29 14:50:53,2020-05-29 14:51:23,2,30.145
5ed191fef9cab205a75504dc,2020-05-29 16:51:12,2020-05-29 16:51:42,2,30.241
5ed19400f9cab205a75504dd,2020-05-29 16:59:46,2020-05-29 17:00:16,2,30.475
5ed19f64f9cab205a75504de,2020-05-29 17:47:04,2020-05-29 17:48:52,9,108.048
5ed1a4a7f9cab205a75504df,2020-05-29 18:05:31,2020-05-29 18:11:19,32,348.117
5ed1a50cf9cab205a75504e0,2020-05-29 18:12:49,2020-05-29 18:13:00,2,10.408
5ed1a5eff9cab205a75504e1,2020-05-29 18:15:31,2020-05-29 18:16:47,5,76.257
5ed1a93af9cab205a75504e2,2020-05-29 18:30:01,2020-05-29 18:30:50,2,49.418
5ed1a959f9cab205a75504e3,2020-05-29 18:30:01,2020-05-29 18:31:21,4,79.659
5ed1ab4ef9cab205a75504e4,2020-05-29 18:39:27,2020-05-29 18:39:42,2,15.379
5ed1ab82f9cab205a75504e5,2020-05-29 18:40:14,2020-05-29 18:40:34,3,20.381
5ed1ae20f9cab205a75504e6,2020-05-29 18:51:13,2020-05-29 18:51:44,2,31.525
5ed1b08ff9cab205a75504e7,2020-05-29 19:01:17,2020-05-29 19:02:07,4,50.332
5ed1b194f9cab205a75504e8,2020-05-29 19:05:57,2020-05-29 19:06:28,2,31.782
5ed1b3a9f9cab205a75504e9,2020-05-29 19:14:31,2020-05-29 19:15:21,5,49.254
5ed1b3c6f9cab205a75504ea,2020-05-29 19:14:31,2020-05-29 19:15:50,8,78.399
5ed1b6b6f9cab205a75504eb,2020-05-29 19:26:37,2020-05-29 19:28:22,9,105.448
5ed1b810f9cab205a75504ec,2020-05-29 19:33:31,2020-05-29 19:34:08,2,36.816
5ed1bca7f9cab205a75504ed,2020-05-29 19:53:22,2020-05-29 19:53:43,2,21.139
5ed1bda5f9cab205a75504ee,2020-05-29 19:57:25,2020-05-29 19:57:57,4,31.696
